Block,Mito,Geno,Rep,Counts,Sex
B1,Si1,Del,Rep1,58,Male
B1,Si1,Del,Rep1,23,Male
B1,Si1,Del,Rep1,31,Male
B1,Sm21,Del,Rep1,35,Male
B1,Sm21,Del,Rep1,53,Male
B1,Sm21,Del,Rep1,49,Male
B1,ZW,Del,Rep1,45,Male
B1,ZW,Del,Rep1,46,Male
B1,ZW,Del,Rep2,28,Male
B1,OR,Del,Rep2,39,Male
B1,OR,Del,Rep2,48,Male
B1,OR,Del,Rep2,42,Male
B1,Si1,Dup,Rep2,77,Male
B1,Si1,Dup,Rep2,33,Male
B1,Si1,Dup,Rep2,50,Male
B1,Sm21,Dup,Rep2,60,Male
B1,Sm21,Dup,Rep3,69,Male
B1,Sm21,Dup,Rep3,54,Male
B1,ZW,Dup,Rep3,50,Male
B1,ZW,Dup,Rep3,53,Male
B1,ZW,Dup,Rep3,76,Male
B1,OR,Dup,Rep3,64,Male
B1,OR,Dup,Rep3,39,Male
B1,OR,Dup,Rep3,73,Male
B1,Si1,Del,Rep1,47,Female
B1,Si1,Del,Rep1,39,Female
B1,Si1,Del,Rep1,41,Female
B1,Sm21,Del,Rep1,41,Female
B1,Sm21,Del,Rep1,41,Female
B1,Sm21,Del,Rep1,32,Female
B1,ZW,Del,Rep1,45,Female
B1,ZW,Del,Rep1,34,Female
B1,ZW,Del,Rep2,38,Female
B1,OR,Del,Rep2,34,Female
B1,OR,Del,Rep2,55,Female
B1,OR,Del,Rep2,49,Female
B1,Si1,Dup,Rep2,53,Female
B1,Si1,Dup,Rep2,69,Female
B1,Si1,Dup,Rep2,30,Female
B1,Sm21,Dup,Rep2,60,Female
B1,Sm21,Dup,Rep3,50,Female
B1,Sm21,Dup,Rep3,47,Female
B1,ZW,Dup,Rep3,79,Female
B1,ZW,Dup,Rep3,56,Female
B1,ZW,Dup,Rep3,52,Female
B1,OR,Dup,Rep3,43,Female
B1,OR,Dup,Rep3,65,Female
B1,OR,Dup,Rep3,61,Female
B2,Si1,Del,Rep1,48,Male
B2,Si1,Del,Rep1,75,Male
B2,Si1,Del,Rep1,50,Male
B2,Sm21,Del,Rep1,42,Male
B2,Sm21,Del,Rep1,57,Male
B2,Sm21,Del,Rep1,56,Male
B2,ZW,Del,Rep1,40,Male
B2,ZW,Del,Rep1,54,Male
B2,ZW,Del,Rep2,56,Male
B2,OR,Del,Rep2,41,Male
B2,OR,Del,Rep2,57,Male
B2,OR,Del,Rep2,71,Male
B2,Si1,Dup,Rep2,74,Male
B2,Si1,Dup,Rep2,71,Male
B2,Si1,Dup,Rep2,88,Male
B2,Sm21,Dup,Rep2,82,Male
B2,Sm21,Dup,Rep3,67,Male
B2,Sm21,Dup,Rep3,74,Male
B2,ZW,Dup,Rep3,105,Male
B2,ZW,Dup,Rep3,55,Male
B2,ZW,Dup,Rep3,70,Male
B2,OR,Dup,Rep3,66,Male
B2,OR,Dup,Rep3,56,Male
B2,OR,Dup,Rep3,79,Male
B2,Si1,Del,Rep1,54,Female
B2,Si1,Del,Rep1,62,Female
B2,Si1,Del,Rep1,67,Female
B2,Sm21,Del,Rep1,58,Female
B2,Sm21,Del,Rep1,61,Female
B2,Sm21,Del,Rep1,35,Female
B2,ZW,Del,Rep1,50,Female
B2,ZW,Del,Rep1,44,Female
B2,ZW,Del,Rep2,52,Female
B2,OR,Del,Rep2,57,Female
B2,OR,Del,Rep2,65,Female
B2,OR,Del,Rep2,67,Female
B2,Si1,Dup,Rep2,63,Female
B2,Si1,Dup,Rep2,53,Female
B2,Si1,Dup,Rep2,65,Female
B2,Sm21,Dup,Rep2,87,Female
B2,Sm21,Dup,Rep3,55,Female
B2,Sm21,Dup,Rep3,80,Female
B2,ZW,Dup,Rep3,80,Female
B2,ZW,Dup,Rep3,71,Female
B2,ZW,Dup,Rep3,87,Female
B2,OR,Dup,Rep3,63,Female
B2,OR,Dup,Rep3,87,Female
B2,OR,Dup,Rep3,75,Female
B3,Si1,Del,Rep1,15,Male
B3,Si1,Del,Rep1,36,Male
B3,Si1,Del,Rep1,20,Male
B3,Sm21,Del,Rep1,53,Male
B3,Sm21,Del,Rep1,18,Male
B3,Sm21,Del,Rep1,39,Male
B3,ZW,Del,Rep1,28,Male
B3,ZW,Del,Rep1,23,Male
B3,ZW,Del,Rep2,27,Male
B3,OR,Del,Rep2,31,Male
B3,OR,Del,Rep2,50,Male
B3,OR,Del,Rep2,28,Male
B3,Si1,Dup,Rep2,74,Male
B3,Si1,Dup,Rep2,83,Male
B3,Si1,Dup,Rep2,45,Male
B3,Sm21,Dup,Rep2,57,Male
B3,Sm21,Dup,Rep3,66,Male
B3,Sm21,Dup,Rep3,76,Male
B3,ZW,Dup,Rep3,71,Male
B3,ZW,Dup,Rep3,41,Male
B3,ZW,Dup,Rep3,57,Male
B3,OR,Dup,Rep3,69,Male
B3,OR,Dup,Rep3,44,Male
B3,OR,Dup,Rep3,49,Male
B3,Si1,Del,Rep1,36,Female
B3,Si1,Del,Rep1,28,Female
B3,Si1,Del,Rep1,41,Female
B3,Sm21,Del,Rep1,21,Female
B3,Sm21,Del,Rep1,40,Female
B3,Sm21,Del,Rep1,29,Female
B3,ZW,Del,Rep1,28,Female
B3,ZW,Del,Rep1,21,Female
B3,ZW,Del,Rep2,11,Female
B3,OR,Del,Rep2,24,Female
B3,OR,Del,Rep2,25,Female
B3,OR,Del,Rep2,27,Female
B3,Si1,Dup,Rep2,57,Female
B3,Si1,Dup,Rep2,71,Female
B3,Si1,Dup,Rep2,57,Female
B3,Sm21,Dup,Rep2,60,Female
B3,Sm21,Dup,Rep3,78,Female
B3,Sm21,Dup,Rep3,68,Female
B3,ZW,Dup,Rep3,48,Female
B3,ZW,Dup,Rep3,96,Female
B3,ZW,Dup,Rep3,61,Female
B3,OR,Dup,Rep3,25,Female
B3,OR,Dup,Rep3,49,Female
B3,OR,Dup,Rep3,52,Female
